fold,feature,target,n_test,n_train,target_n,total_band,target_band,shrink_weight,changed,target_probability,delta_full_log,delta_event_log,delta_dest_log,delta_binary_brier,delta_multiclass_brier
0,"[2, 5, 1, 2]",1,1,38,4,20-49,1-4,0.6551724137931034,1,0.0868428835031157,0.515854354148833,0.4166158311607724,0.0992385229880607,-0.05632011653161084,-0.1215062083884404
0,"[2, 5, 1, 2]",2,6,38,34,20-49,20-49,0.6551724137931034,0,0.9107432087445969,-0.03284718976859351,-0.03284718976859351,0.0,0.004504076697857006,0.009315027529187355
0,"[2, 5, 2, 1]",1,2,54,3,50+,1-4,0.7297297297297297,1,0.05455253031325284,0.05091790132395957,0.17299374850302218,-0.12207584717906239,-0.0207952346202831,-0.025734977386689506
0,"[2, 5, 2, 1]",2,12,54,50,50+,50+,0.7297297297297297,0,0.9300419744214408,-0.011878449941832556,-0.011878449941832556,0.0,0.001431427255496736,0.0019080207975247978
0,"[2, 5, 2, 2]",2,18,79,71,50+,50+,0.797979797979798,0,0.9073041020927941,-0.03663049148291336,-0.03663049148291336,0.0,0.005129831401469527,0.009116103685180529
0,"[2, 6, 1, 1]",0,1,160,0,50+,0-0,0.8888888888888888,1,0.0018640144276062555,-2.197224577336219,-0.8720958609162346,-1.3251287164199848,0.04104656654345373,0.07039293919979372
0,"[2, 6, 1, 1]",1,2,160,2,50+,1-4,0.8888888888888888,1,0.013265232878433062,-0.37946114197090264,-0.8720958609162346,0.49263471894533223,0.04104656654345373,0.052812434413022746
0,"[2, 6, 1, 1]",2,56,160,158,50+,50+,0.8888888888888888,0,0.9848670141973148,0.02161957163509858,0.02161957163509858,0.0,-0.0010812062995083475,-0.0015590644848682694
0,"[2, 6, 1, 2]",2,10,40,38,20-49,20-49,0.6666666666666666,0,0.9546010425919446,-0.009593552707026512,-0.009593552707026512,0.0,0.0007508517749258122,0.0016504998582766955
0,"[2, 6, 2, 1]",0,1,40,1,20-49,1-4,0.6666666666666666,1,0.022258709949485433,0.2827763567144621,0.22651642775187453,0.05625992896258736,-0.017653318592852685,-0.02824537553314399
0,"[2, 6, 2, 1]",1,2,40,1,20-49,1-4,0.6666666666666666,1,0.02312903196863252,0.17648093833793155,0.22651642775187453,-0.05003548941394331,-0.017653318592852685,-0.02476408745655556
0,"[2, 6, 2, 1]",2,9,40,38,20-49,20-49,0.6666666666666666,0,0.9546010425919446,-0.009593552707026512,-0.009593552707026512,0.0,0.0007508517749258122,0.0011239550366927095
0,"[2, 6, 2, 2]",2,35,123,116,50+,50+,0.8601398601398601,0,0.9459864514371794,-0.018658802453691295,-0.018658802453691295,0.0,0.0016072498695355458,0.0024354996724332777
0,"[2, 7, 1, 1]",1,1,479,2,50+,1-4,0.9599198396793587,1,0.0041490723248073565,0.1646071798312443,0.2781589486983922,-0.11355176886714718,-0.002994699404444079,-0.004246466222841638
0,"[2, 7, 1, 1]",2,119,479,476,50+,50+,0.9599198396793587,0,0.9937998142403529,-0.0015137976206054116,-0.0015137976206054116,0.0,1.640270845767584e-05,2.407153178715906e-05
0,"[2, 7, 1, 2]",2,24,73,73,50+,50+,0.7849462365591398,0,0.9989904011390975,0.0036955802627539566,0.0036955802627539566,0.0,-2.102030513651995e-05,-3.4136279853113204e-05
0,"[2, 7, 2, 1]",2,31,102,102,50+,50+,0.8360655737704918,0,0.9992303877535744,0.003935780561904816,0.003935780561904816,0.0,-2.1447291986607147e-05,-3.482969236608643e-05
0,"[2, 7, 2, 2]",1,1,204,1,50+,1-4,0.9107142857142857,1,0.0047785137949949595,0.305851983375641,0.039431536314133986,0.2664204470615069,-0.0003758211634625752,-0.002885046638692046
0,"[2, 7, 2, 2]",2,51,204,203,50+,50+,0.9107142857142857,0,0.9951165504729289,-0.00018972341787948984,-0.00018972341787948984,0.0,1.8084842869955226e-06,1.0901591159998696e-05
0,"[2, 8, 1, 1]",1,1,1,0,1-4,0-0,0.047619047619047616,1,0.3555484693877551,-0.04879016416943194,0.01891963277012254,-0.06770979693955459,-0.007619105493560568,0.03324839930790546
0,"[2, 8, 2, 2]",1,1,10,4,5-19,1-4,0.3333333333333333,1,0.3822172619047619,0.023537449796774634,-0.0064318991834816375,0.02996934898025616,0.002640841737085481,-0.004282697128330515
0,"[3, 1, 2, 2]",1,1,1,0,1-4,0-0,0.047619047619047616,1,0.0034456619116532286,-0.04879016416943127,-0.04879016416943216,0.0,0.0006357114392835372,0.0009785253471339406
0,"[3, 2, 1, 2]",0,1,0,0,0-0,0-0,0.0,0,0.8834361233480175,-1.249000902703301e-16,-1.249000902703301e-16,0.0,0.0,2.7755575615628914e-17
0,"[3, 2, 2, 1]",1,1,0,0,0-0,0-0,0.0,1,0.05277533039647577,0.0,0.0,0.0,0.0,-2.220446049250313e-16
0,"[3, 2, 2, 2]",0,1,5,3,5-19,1-4,0.2,0,0.8267488986784141,-0.06631796984506742,-0.06631796984506742,0.0,0.016428806769003865,0.02457807789788275
0,"[3, 2, 2, 2]",2,1,5,1,5-19,1-4,0.2,1,0.08926872246696035,0.37121817589370965,0.3963025746968145,-0.025084398803104757,-0.09694564257020322,-0.14416201020784425
0,"[3, 3, 2, 2]",0,1,4,3,1-4,1-4,0.16666666666666666,0,0.8884277703998821,-0.030686723278939454,-0.030686723278939454,0.0,0.005411388088119926,0.010642048392667806
0,"[3, 4, 1, 1]",1,1,7,4,5-19,1-4,0.25925925925925924,0,0.7130277130277131,-0.06719685350935972,-0.06719685350935972,0.0,0.02598835682816518,0.05020219637384876
0,"[3, 4, 2, 1]",1,1,1,0,1-4,0-0,0.047619047619047616,0,0.7262737262737262,-0.04879016416943205,-0.04879016416943205,0.0,0.018561336266131476,0.03194164657076748
0,"[3, 4, 2, 2]",1,2,10,10,5-19,5-19,0.3333333333333333,0,0.8417249417249418,0.09873614696766447,0.09873614696766447,0.0,-0.031313742589966366,-0.04763052118821354
0,"[3, 6, 1, 1]",2,1,0,0,0-0,0-0,0.0,0,0.9607544517338333,1.1796119636642288e-16,1.1796119636642288e-16,0.0,0.0,-8.673617379884035e-18
0,"[3, 6, 2, 2]",2,1,1,1,1-4,1-4,0.047619047619047616,0,0.9626232873655555,0.0019432856914664218,0.0019432856914664218,0.0,-0.00014319441135417959,-0.0002127022354443467
0,"[3, 8, 1, 1]",3,1,1,0,1-4,0-0,0.047619047619047616,0,0.33090379008746357,-0.04879016416943216,-0.04879016416943216,0.0,0.021866903883585864,0.03972183972853327
0,"[3, 8, 1, 2]",1,1,0,0,0-0,0-0,0.0,1,0.3413265306122449,0.0,0.0,0.0,0.0,0.0
0,"[3, 8, 2, 2]",1,1,11,2,5-19,1-4,0.3548387096774194,1,0.2847267939433838,-0.18130948412750425,-0.11391903835021272,-0.0673904457772917,0.053760031210980885,0.12824357025190247
0,"[3, 8, 2, 2]",2,1,11,1,5-19,1-4,0.3548387096774194,1,0.12343647136273864,-0.1353464111480831,-0.11391903835021272,-0.021427372797870436,0.053760031210980885,0.05082421541319282
0,"[3, 8, 2, 2]",3,1,11,6,5-19,5-19,0.3548387096774194,0,0.4177090190915076,0.18416723063371998,0.18416723063371998,0.0,-0.08676004778836083,-0.12547598208516136
1,"[0, 1, 1, 1]",0,13,57,52,50+,50+,0.7402597402597403,0,0.9324633670610523,-0.05985887810117333,-0.05985887810117333,0.0,0.0044608757952517555,0.0067746334294492006
1,"[0, 1, 1, 2]",0,12,50,48,50+,20-49,0.7142857142857143,0,0.9685668466243004,-0.02187124295039484,-0.02187124295039484,0.0,0.0008877221376618484,0.0013294899659650988
1,"[0, 1, 2, 1]",0,11,51,50,50+,50+,0.7183098591549296,0,0.9830940741366341,-0.006983927571780282,-0.006983927571780282,0.0,0.0001854893358192098,0.0003868838511626182
1,"[0, 1, 2, 2]",0,298,1241,1235,50+,50+,0.9841395717684377,0,0.995083012897463,0.005137419531746765,0.005137419531746765,0.0,-7.614423131190188e-05,-0.00011276770531640992
1,"[0, 1, 2, 2]",1,1,1241,3,50+,1-4,0.9841395717684377,1,0.0024698800919460595,-0.8408370889933767,-0.7114915245735629,-0.12934556441981504,0.010121955193512555,0.016597451130013763
1,"[0, 2, 1, 1]",0,4,36,30,20-49,20-49,0.6428571428571429,0,0.8790854978354978,-0.08954937010069218,-0.08954937010069218,0.0,0.01313339649392815,0.022177798040703876
1,"[0, 2, 1, 2]",0,8,20,19,20-49,5-19,0.5,0,0.9557196969696969,-0.005966864165729634,-0.005966864165729634,0.0,0.00047382489669421527,0.001080431205999381
1,"[0, 2, 2, 1]",0,10,38,38,20-49,20-49,0.6551724137931034,0,0.9867032392894461,0.025937794592610322,0.025937794592610322,0.0,-0.0013101164943675212,-0.001893163055991407
1,"[0, 2, 2, 1]",2,1,38,0,20-49,0-0,0.6551724137931034,1,0.005877742946708463,-1.0647107369924287,-1.0647107369924282,-2.220446049250313e-16,0.049217574205736914,0.07096995084160551
1,"[0, 2, 2, 2]",0,76,325,316,50+,50+,0.9420289855072463,0,0.9716776460254721,0.010592579346440124,0.010592579346440124,0.0,-0.0006847646051027931,-0.0009489971869525225
1,"[0, 2, 2, 2]",1,1,325,6,50+,5-19,0.9420289855072463,1,0.01849948762992241,-0.032791099156137093,-0.30857980101751403,0.2757887018613772,0.0197917395670536,0.02076085495768254
1,"[0, 3, 1, 1]",0,4,22,18,20-49,5-19,0.5238095238095238,0,0.8801703822456515,-0.07461635515248427,-0.07461635515248427,0.0,0.01169222075082008,0.01704844285556041
1,"[0, 3, 1, 2]",0,9,24,24,20-49,20-49,0.5454545454545454,0,0.9765262739617583,0.029269796141826197,0.029269796141826197,0.0,-0.0021159007262147554,-0.0035644476527913463
1,"[0, 3, 2, 1]",0,5,9,7,5-19,5-19,0.3103448275862069,0,0.8954191742868056,-0.0574399002806553,-0.0574399002806553,0.0,0.008270232566520338,0.012032657197149464
1,"[0, 3, 2, 2]",0,66,376,360,50+,50+,0.9494949494949495,0,0.9569877678139327,0.009058749495861627,0.009058749495861627,0.0,-0.0008168644227050214,-0.0010352883293502394
1,"[0, 3, 2, 2]",1,3,376,15,50+,5-19,0.9494949494949495,1,0.040002640952092564,-0.04996838842375473,-0.1828545704312683,0.13288618200751373,0.016443065773423693,0.020323941665459033
1,"[0, 3, 2, 2]",2,1,376,0,50+,0-0,0.9494949494949495,1,0.00036271873234984737,-2.9856819377004893,-0.1828545704312683,-2.802827367269222,0.016443065773423693,0.029862866203132832
1,"[0, 4, 1, 1]",0,1,9,0,5-19,0-0,0.3103448275862069,1,0.19964702688026068,-0.37156355643248284,-0.2386247564178945,-0.13293880001458844,0.10237626833135155,0.24011661751258517
1,"[0, 4, 1, 1]",1,1,9,8,5-19,5-19,0.3103448275862069,0,0.7229885057471265,0.10898835664951129,0.10898835664951129,0.0,-0.04693407649623464,-0.08887605150723582
1,"[0, 4, 1, 1]",2,1,9,1,5-19,1-4,0.3103448275862069,1,0.0622590279663318,0.4355579604737949,-0.2386247564178945,0.6741827168916896,0.10237626833135155,0.01646741849004907
1,"[0, 4, 1, 2]",0,1,5,1,5-19,1-4,0.2,1,0.27159055118110237,-0.06381889255810758,0.027117136089424676,-0.09093602864753222,-0.012440999999999924,0.016733259842519832
