schema_version,research_label,contract_id,source_sha256,spec_sha256,mapping_sha256,before,after,n,post_n,adult_w,post_w
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,A,N,27,27,7.5977,2.2922
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,A,U,29,6,13.3591,6.5321
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,N,D,60,60,139.8755,200.6022
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,N,R,56,56,216.9161,274.3166
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,N,O,10,10,18.8111,20.2649
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,N,A,3,3,1.7497999999999998,0.3168
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,N,N,248,248,240.172,132.79749999999999
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,N,U,104,32,238.34550000000002,93.3083
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,U,D,143,143,263.4092,321.3994
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,U,R,94,94,225.38400000000001,246.8938
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,U,O,4,4,1.5269,2.5833
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,U,A,12,12,7.0311,2.4339
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,U,N,99,99,83.1161,55.1679
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,U,U,603,434,1992.8893,1422.734
