year,fips,rep_votes,dem_votes,acs_vintage,total_pop,hispanic,edu_total_25plus,hs_or_less
2012,05121,3701,2046,2012,17992,290,12327,7406
2012,05123,3368,4910,2012,28089,1187,18977,11570
2012,05125,32963,12869,2012,107498,4028,73424,34393
2012,05127,2631,897,2012,11170,779,7383,4669
2012,05129,2699,814,2012,8146,127,5920,3802
2012,05131,29169,13092,2012,125795,15352,81884,40330
2012,05133,3136,1042,2012,16978,5212,10436,6865
2012,05135,4921,2092,2012,17278,285,12449,7670
2012,05137,3776,1356,2012,12480,165,8946,5237
2012,05139,10699,6196,2012,41594,1415,28190,15146
2012,05141,4365,1832,2012,17223,467,12408,7046
2012,05143,39688,28236,2012,204057,31439,122596,57093
2012,05145,20011,5765,2012,77007,2863,48895,26620
2012,05147,1227,1340,2012,7262,28,5055,3535
2012,05149,4042,1722,2012,22033,4154,14449,9848
2012,06001,108182,469684,2012,1515136,339441,1025190,341034
2012,06003,236,389,2012,1197,78,801,282
2012,06005,10281,6830,2012,37764,4673,28872,11667
2012,06007,44479,42669,2012,220101,31256,140844,50940
2012,06009,12365,8670,2012,45507,4738,33758,12411
2012,06011,3601,2314,2012,21329,11740,13036,7180
2012,06013,136517,290824,2012,1052047,255128,704269,215762
2012,06015,4614,3791,2012,28496,5119,19714,10033
2012,06017,50973,35166,2012,180441,21650,126157,36902
2012,06019,124490,129129,2012,930517,467958,545604,272055
2012,06021,5632,3301,2012,28078,10525,17599,9182
2012,06023,18825,34457,2012,134317,13208,90254,32028
2012,06025,12777,25136,2012,173487,139382,103539,59851
2012,06027,4340,3422,2012,18474,3575,13330,5668
2012,06029,126618,89495,2012,839153,412779,491875,267693
2012,06031,17671,12979,2012,151982,77382,92096,50446
2012,06033,9200,13163,2012,64360,11068,45907,19318
2012,06035,7296,3053,2012,34628,6108,24816,11194
2012,06037,885333,2216903,2012,9840024,4694846,6380366,2813046
2012,06039,22852,16018,2012,150615,80939,92337,50969
2012,06041,30880,99896,2012,252759,38605,185934,37152
2012,06043,5140,3498,2012,18193,1714,13926,5643
2012,06045,9658,23193,2012,87577,19426,60895,25110
2012,06047,27581,33005,2012,256398,141027,145402,84043
2012,06049,2777,1111,2012,9545,1337,6844,2821
2012,06051,2285,2733,2012,14181,3747,9677,3483
2012,06053,37390,82920,2012,416199,230202,258541,128439
2012,06055,19526,35870,2012,136644,43897,92987,34152
2012,06057,24986,24663,2012,98521,8400,72875,19589
2012,06059,582332,512440,2012,3021840,1015013,1979327,679647
2012,06061,99921,66818,2012,350074,44888,237873,63192
2012,06063,5721,4026,2012,19926,1604,14989,5098
2012,06065,318127,329063,2012,2192982,998113,1345607,618305
2012,06067,202514,300503,2012,1422348,305985,916822,330479
2012,06069,7343,11276,2012,55467,31300,34238,16309
2012,06071,262358,305109,2012,2041029,1005858,1216126,583809
2012,06073,536726,626957,2012,3100500,992087,2011024,675683
2012,06075,47076,301723,2012,807755,121628,624779,173651
2012,06077,86071,114121,2012,687036,266808,414657,202593
2012,06079,59967,61258,2012,270121,56068,178671,56582
2012,06081,72756,206085,2012,721183,181328,506386,145413
2012,06083,64606,94129,2012,423594,180631,261339,99716
2012,06085,174843,450818,2012,1788393,478065,1200542,350714
2012,06087,24047,90805,2012,262340,83709,169357,52597
2012,06089,48067,25819,2012,177693,14994,121798,46110
2012,06091,1056,653,2012,3163,281,2472,1092
2012,06093,11077,8046,2012,44673,4652,32203,12267
2012,06095,52092,96783,2012,414209,99502,272020,101434
2012,06097,54784,153942,2012,483456,119747,331295,110964
2012,06099,73459,77724,2012,515115,216009,314088,162325
2012,06101,18122,12192,2012,94615,27119,59387,27054
2012,06103,14235,7934,2012,63200,13885,41896,20082
2012,06105,2716,2674,2012,13693,956,10278,3684
2012,06107,56956,41752,2012,441877,267639,251020,139823
2012,06109,13880,9998,2012,55205,5935,41241,16870
2012,06111,147958,170929,2012,822794,331225,530211,192002
2012,06113,23368,48715,2012,200873,60939,116436,40330
2012,06115,11275,7711,2012,72244,18193,43790,20134
2012,08001,70972,100649,2012,442996,167556,275628,134121
2012,08003,2705,3811,2012,15750,7185,9424,4032
2012,08005,125588,153905,2012,574357,105174,378792,113998
2012,08007,3872,2679,2012,12109,2157,8659,2817
2012,08009,1559,467,2012,3783,347,2769,1250
2012,08011,1075,815,2012,6192,1908,4709,3020
2012,08013,49981,125091,2012,297218,39475,190415,35524
2012,08014,15008,16966,2012,55913,6380,36960,8160
2012,08015,5070,5086,2012,17879,1722,13791,5082
2012,08017,889,172,2012,2095,308,1476,653
2012,08019,2430,3119,2012,9059,453,6977,2052
2012,08021,1835,2213,2012,8241,4584,5203,2707
2012,08023,446,1340,2012,3556,2333,2512,1397
2012,08025,924,535,2012,5747,1673,4279,2660
2012,08027,1788,868,2012,4208,152,3348,1201
2012,08029,10915,4622,2012,30710,4310,22044,10763
2012,08031,73111,222018,2012,604356,192012,413562,140237
2012,08033,859,334,2012,1806,68,1370,672
2012,08035,104204,60991,2012,286883,21771,184379,29758
2012,08037,9411,12792,2012,51850,15484,34874,10636
