group,method,direction,reference_pp,estimate_pp,error_pp
Latino_employed_2020,crossfit_aipw,0_to_1,1.8835616438356164,1.8150216273498492,-0.06854001648576724
Latino_employed_2020,crossfit_aipw,0_to_2,1.5410958904109588,1.053193635095282,-0.4879022553156769
Latino_employed_2020,crossfit_aipw,0_to_3,0.5136986301369862,0.47890273155992547,-0.03479589857706078
Latino_employed_2020,crossfit_aipw,1_to_0,2.054794520547945,1.7519039319693588,-0.3028905885785862
Latino_employed_2020,crossfit_aipw,1_to_2,2.2260273972602738,1.7076019410544108,-0.518425456205863
Latino_employed_2020,crossfit_aipw,1_to_3,0.5136986301369862,-0.0251640486002088,-0.5388626787371951
Latino_employed_2020,crossfit_aipw,2_to_0,1.36986301369863,1.3590464708396977,-0.01081654285893241
Latino_employed_2020,crossfit_aipw,2_to_1,1.7123287671232876,1.6312403845009278,-0.08108838262235984
Latino_employed_2020,crossfit_aipw,2_to_3,0.17123287671232876,0.0052286801747684405,-0.16600419653756032
Latino_employed_2020,crossfit_aipw,3_to_0,0.5136986301369862,1.3344104464591877,0.8207118163222015
Latino_employed_2020,crossfit_aipw,3_to_1,1.36986301369863,1.304522361123914,-0.065340652574716
Latino_employed_2020,crossfit_aipw,3_to_2,0.17123287671232876,0.013583352090616098,-0.15764952462171267
R_renter_2020,unadjusted,0_to_1,0.0,0.0,0.0
R_renter_2020,unadjusted,0_to_2,0.0,0.0,0.0
R_renter_2020,unadjusted,0_to_3,0.0,0.0,0.0
R_renter_2020,unadjusted,1_to_0,0.0,0.0,0.0
R_renter_2020,unadjusted,1_to_2,0.0,0.0,0.0
R_renter_2020,unadjusted,1_to_3,0.0,0.0,0.0
R_renter_2020,unadjusted,2_to_0,2.67022696929239,2.2443890274314215,-0.42583794186096835
R_renter_2020,unadjusted,2_to_1,7.87716955941255,7.73067331670823,-0.1464962427043206
R_renter_2020,unadjusted,2_to_3,0.9345794392523363,0.997506234413965,0.06292679516162869
R_renter_2020,unadjusted,3_to_0,0.0,0.0,0.0
R_renter_2020,unadjusted,3_to_1,0.0,0.0,0.0
R_renter_2020,unadjusted,3_to_2,0.0,0.0,0.0
R_renter_2020,baseline_standardization,0_to_1,0.0,0.0,0.0
R_renter_2020,baseline_standardization,0_to_2,0.0,0.0,0.0
R_renter_2020,baseline_standardization,0_to_3,0.0,0.0,0.0
R_renter_2020,baseline_standardization,1_to_0,0.0,0.0,0.0
R_renter_2020,baseline_standardization,1_to_2,0.0,0.0,0.0
R_renter_2020,baseline_standardization,1_to_3,0.0,0.0,0.0
R_renter_2020,baseline_standardization,2_to_0,2.67022696929239,2.2443890274314215,-0.42583794186096835
R_renter_2020,baseline_standardization,2_to_1,7.87716955941255,7.73067331670823,-0.1464962427043206
R_renter_2020,baseline_standardization,2_to_3,0.9345794392523363,0.997506234413965,0.06292679516162869
R_renter_2020,baseline_standardization,3_to_0,0.0,0.0,0.0
R_renter_2020,baseline_standardization,3_to_1,0.0,0.0,0.0
R_renter_2020,baseline_standardization,3_to_2,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,0_to_1,0.0,0.0,0.0
