group,cohort,before,after,n,target_n,unweighted_share,fixed_weight_mass,weighted_share
Latino_employed_2020,omitted,不确定,D,1,302,0.0033112582781456954,0.056,0.0002202704685349536
Latino_employed_2020,omitted,不确定,I,7,302,0.023178807947019868,17.9072,0.07043620239552001
Latino_employed_2020,omitted,不确定,R,1,302,0.0033112582781456954,6.4044,0.02519107479795101
Latino_employed_2020,omitted,不确定,不确定,4,302,0.013245033112582781,8.4305,0.03316053901757011
R_renter_2020,full,D,D,0,749,0.0,0.0,0.0
R_renter_2020,full,D,I,0,749,0.0,0.0,0.0
R_renter_2020,full,D,R,0,749,0.0,0.0,0.0
R_renter_2020,full,D,不确定,0,749,0.0,0.0,0.0
R_renter_2020,full,I,D,0,749,0.0,0.0,0.0
R_renter_2020,full,I,I,0,749,0.0,0.0,0.0
R_renter_2020,full,I,R,0,749,0.0,0.0,0.0
R_renter_2020,full,I,不确定,0,749,0.0,0.0,0.0
R_renter_2020,full,R,D,20,749,0.0267022696929239,22.8471,0.022711929948909068
R_renter_2020,full,R,I,59,749,0.0787716955941255,79.1786,0.07871015650356901
R_renter_2020,full,R,R,663,749,0.8851802403204272,886.0597,0.8808175145620838
R_renter_2020,full,R,不确定,7,749,0.009345794392523364,17.8661,0.017760398985438165
R_renter_2020,full,不确定,D,0,749,0.0,0.0,0.0
R_renter_2020,full,不确定,I,0,749,0.0,0.0,0.0
R_renter_2020,full,不确定,R,0,749,0.0,0.0,0.0
R_renter_2020,full,不确定,不确定,0,749,0.0,0.0,0.0
R_renter_2020,retained,D,D,0,401,0.0,0.0,0.0
R_renter_2020,retained,D,I,0,401,0.0,0.0,0.0
R_renter_2020,retained,D,R,0,401,0.0,0.0,0.0
R_renter_2020,retained,D,不确定,0,401,0.0,0.0,0.0
R_renter_2020,retained,I,D,0,401,0.0,0.0,0.0
R_renter_2020,retained,I,I,0,401,0.0,0.0,0.0
R_renter_2020,retained,I,R,0,401,0.0,0.0,0.0
R_renter_2020,retained,I,不确定,0,401,0.0,0.0,0.0
R_renter_2020,retained,R,D,9,401,0.022443890274314215,3.7190000000000003,0.00799772046687419
R_renter_2020,retained,R,I,31,401,0.0773067331670823,34.220600000000005,0.07359150121234605
R_renter_2020,retained,R,R,357,401,0.8902743142144638,421.8172,0.9071191324871105
R_renter_2020,retained,R,不确定,4,401,0.00997506234413965,5.2507,0.01129164583366935
R_renter_2020,retained,不确定,D,0,401,0.0,0.0,0.0
R_renter_2020,retained,不确定,I,0,401,0.0,0.0,0.0
R_renter_2020,retained,不确定,R,0,401,0.0,0.0,0.0
R_renter_2020,retained,不确定,不确定,0,401,0.0,0.0,0.0
R_renter_2020,omitted,D,D,0,348,0.0,0.0,0.0
R_renter_2020,omitted,D,I,0,348,0.0,0.0,0.0
R_renter_2020,omitted,D,R,0,348,0.0,0.0,0.0
R_renter_2020,omitted,D,不确定,0,348,0.0,0.0,0.0
R_renter_2020,omitted,I,D,0,348,0.0,0.0,0.0
R_renter_2020,omitted,I,I,0,348,0.0,0.0,0.0
R_renter_2020,omitted,I,R,0,348,0.0,0.0,0.0
R_renter_2020,omitted,I,不确定,0,348,0.0,0.0,0.0
R_renter_2020,omitted,R,D,11,348,0.031609195402298854,19.1281,0.03536059185423999
R_renter_2020,omitted,R,I,28,348,0.08045977011494253,44.958,0.08311026649708655
R_renter_2020,omitted,R,R,306,348,0.8793103448275862,464.2425,0.8582080585051317
R_renter_2020,omitted,R,不确定,3,348,0.008620689655172414,12.6154,0.023321083143541657
R_renter_2020,omitted,不确定,D,0,348,0.0,0.0,0.0
R_renter_2020,omitted,不确定,I,0,348,0.0,0.0,0.0
R_renter_2020,omitted,不确定,R,0,348,0.0,0.0,0.0
R_renter_2020,omitted,不确定,不确定,0,348,0.0,0.0,0.0
