bias_MCSE_pp,bias_pp,coverage_MCSE,coverage_given_available,empirical_sd_pp,group,interval_availability,method,n,planned_replications,rmse_pp,scenario,successful_replications,truth_pp,unconditional_coverage,valid_intervals
0.26450268760327184,9.185866118128136,0.027386127875258306,0.1,2.8974817704210807,all,1.0,baseline_standardization,600,120,9.628373449256506,MNAR_negative_control,120,15.73009423083537,0.1,120
0.27266360907128273,9.69025826235261,0.025230419617479096,0.08333333333333333,2.986880185982236,all,1.0,crossfit_aipw,600,120,10.136479319408418,MNAR_negative_control,120,15.73009423083537,0.08333333333333333,120
0.3333934963695959,9.517781009690946,0.04275657844121768,0.527027027027027,3.6521427697428877,z1,0.6166666666666667,unadjusted,600,120,10.188972025459552,MNAR_negative_control,120,30.132519262186268,0.325,74
0.30103794833199327,-5.198843147267553,0.0,,3.297705499330148,z1,0.0,baseline_standardization,600,120,6.149163177528074,MNAR_negative_control,120,30.132519262186268,0.0,0
0.32812376537754445,8.987645565713695,0.0414926923508046,0.47297297297297297,3.5944157590162744,z1,0.6166666666666667,crossfit_aipw,600,120,9.674188971596122,MNAR_negative_control,120,30.132519262186268,0.2916666666666667,74
0.15219591671771557,1.452199817224841,0.024044230077089175,0.925,1.6672227349294086,all,1.0,unadjusted,2400,120,2.2057543743462955,response_correct_outcome_wrong,120,15.73009423083537,0.925,120
0.14722311807720093,-1.7890753212710653,0.03332465164720266,0.8416666666666667,1.6127484551425908,all,1.0,baseline_standardization,2400,120,2.4041783291281877,response_correct_outcome_wrong,120,15.73009423083537,0.8416666666666667,120
0.15178580446706208,0.11222231536017446,0.019895560643855545,0.95,1.6627301803135663,all,1.0,crossfit_aipw,2400,120,1.6595862647517512,response_correct_outcome_wrong,120,15.73009423083537,0.95,120
0.25150225081649985,5.591913580261075,0.04561818188528033,0.48333333333333334,2.755069120710381,z1,1.0,unadjusted,2400,120,6.228695687448084,response_correct_outcome_wrong,120,30.132519262186268,0.48333333333333334,120
0.16541992004116268,-16.192673306567436,0.0,,1.8120844333449142,z1,0.0,baseline_standardization,2400,120,16.292911190356563,response_correct_outcome_wrong,120,30.132519262186268,0.0,0
0.23185962919336445,0.06635047460003207,0.01824156324522735,0.9583333333333334,2.539894981679781,z1,1.0,crossfit_aipw,2400,120,2.5301600771081856,response_correct_outcome_wrong,120,30.132519262186268,0.9583333333333334,120
0.16453400110833274,1.2898656650921403,0.029305226433117636,0.8833333333333333,1.802379677672277,all,1.0,unadjusted,2400,120,2.210261183423555,outcome_correct_response_wrong,120,15.73009423083537,0.8833333333333333,120
0.15365822418743402,-1.9087885912716729,0.035322587464470735,0.8166666666666667,1.6832415106728709,all,1.0,baseline_standardization,2400,120,2.540308056035872,outcome_correct_response_wrong,120,15.73009423083537,0.8166666666666667,120
0.15177893948553717,-0.024642899286844155,0.019895560643855545,0.95,1.6626549782088051,all,1.0,crossfit_aipw,2400,120,1.6558961327862414,outcome_correct_response_wrong,120,15.73009423083537,0.95,120
0.24093653196941903,5.642265726340202,0.045331852508493975,0.44166666666666665,2.639327469734308,z1,1.0,unadjusted,2400,120,6.224400501790511,outcome_correct_response_wrong,120,30.132519262186268,0.44166666666666665,120
0.1830590035915559,-16.248983356324544,0.0,,2.005310912430288,z1,0.0,baseline_standardization,2400,120,16.371231516621712,outcome_correct_response_wrong,120,30.132519262186268,0.0,0
0.2299297488932229,0.0331495754863802,0.030190368221227996,0.875,2.518754202206334,z1,1.0,crossfit_aipw,2400,120,2.508456484785194,outcome_correct_response_wrong,120,30.132519262186268,0.875,120
0.1536952321536799,8.861907215805005,0.0,0.0,1.6836469126312759,all,1.0,unadjusted,2400,120,9.019115488980216,MNAR_negative_control,120,15.73009423083537,0.0,120
0.13994498776610292,9.207774437601145,0.0,0.0,1.5330205321855814,all,1.0,baseline_standardization,2400,120,9.333470814559973,MNAR_negative_control,120,15.73009423083537,0.0,120
