y20,y22,y24,observed_n,observed_markov,hmm3,static3,hmm4,static4
I,R,not_sure,0,0.03853046594982079,0.7667742754707223,0.4675075003843431,0.21751149843243198,0.18877524808957388
I,not_sure,D,2,4.3478260869565215,3.0231558426871046,3.3759660887291765,2.295709334924081,2.328909472435039
I,not_sure,I,14,9.782608695652174,31.055545669681365,35.46657950623099,12.926793469806645,13.276790455106262
I,not_sure,R,1,3.6231884057971016,2.7500631898838472,3.1109137657812207,3.181971316281372,2.8786928377206578
I,not_sure,not_sure,8,7.246376811594203,1.783684591746199,1.3852196311462945,6.117805958758659,6.121464729770608
R,D,D,34,40.813478556841396,33.66975573212519,33.69963386466978,33.73994299602768,33.739442669844635
R,D,I,2,0.7576582709326073,2.089984031579214,2.0965323639015745,2.028729946318798,2.0246441175209555
R,D,R,6,0.37168141592920356,6.132072230750858,6.13980876531805,5.958942017029199,5.958813156988346
R,D,not_sure,0,0.05718175629680054,0.1801441254597842,0.09880352415398537,0.627185243804092,0.641659572249488
R,I,D,5,13.82051282051282,7.925862193842886,7.8644419702606445,7.573931638732049,7.582060559042503
R,I,I,85,103.5128205128205,81.95673252241085,82.83858020712499,82.64408263364517,82.76634642735723
R,I,R,41,13.256410256410257,41.87234094501527,40.83246956465975,41.24286124961282,41.02328515550487
R,I,not_sure,1,1.4102564102564104,4.728221702427775,3.2211879107566026,1.1022755916567115,1.1013342297477806
R,R,D,12,15.125448028673834,11.732864735661101,11.738109382750622,11.745971825485586,11.7438791035154
R,R,I,47,59.55645161290322,44.93708717504985,46.91639225035039,46.58305730344805,46.84728184671677
R,R,R,2050,2034.3727598566306,2050.2231968119117,2050.0899373585025,2050.5036125519237,2050.4483999392523
R,R,not_sure,1,0.9453405017921146,3.840743973886037,0.9692837206807446,1.8590061316398134,0.949672126575033
R,not_sure,D,0,2.4347826086956523,0.5174698803954825,0.587134686941505,1.0398172711129134,0.9359730896696585
R,not_sure,I,6,5.478260869565219,4.720240872608513,5.4543015753120825,4.752105652549248,4.332141689160577
R,not_sure,R,5,2.028985507246377,3.655936001961363,5.242334107931792,3.258463370977784,4.97142290329272
R,not_sure,not_sure,3,4.057971014492754,0.2731800737328908,0.2110487466845788,3.3360543501308437,2.933643413561769
not_sure,D,D,13,18.463240299523484,10.036684144199429,15.14125655747053,13.305461925004778,13.240358500590744
not_sure,D,I,4,0.34275017018379855,0.7162989884034967,0.8506612644338608,1.7813147344235354,2.115831481187135
not_sure,D,R,2,0.168141592920354,0.12893259828399517,0.1718094176651057,0.6450020165532224,0.6835936275236834
not_sure,D,not_sure,0,0.02586793737236215,0.05800171173677153,0.04192438074139857,1.2288500457684777,1.54580402178666
not_sure,I,D,1,2.5128205128205128,2.930889737698199,3.2803313944623618,1.851709286782846,1.8435787044403467
not_sure,I,I,19,18.82051282051282,31.166227299469245,34.98701380948219,19.884777948794632,19.818755306605528
not_sure,I,R,4,2.4102564102564106,2.7377983217906077,3.0293118667882175,1.6637217683836958,1.6588120070333436
not_sure,I,not_sure,0,0.25641025641025644,1.7898542747707151,1.3664769625095081,0.2618818249489485,0.26246395569322695
not_sure,R,D,0,0.05017921146953406,0.09741275222458115,0.11936509847387029,0.08709490055997561,0.08683783413292231
not_sure,R,I,0,0.19758064516129034,0.7509434775584531,0.8787558264426475,0.5626834791147088,0.5620362881436742
not_sure,R,R,7,6.74910394265233,5.367779220984796,7.285483631045542,7.006511313055265,7.006675024757469
not_sure,R,not_sure,0,0.0031362007168458787,0.0464032502647312,0.03128646560352123,0.011623300544160166,0.008570580416534891
not_sure,not_sure,D,3,3.4782608695652173,0.18469480517240294,0.24085125365627558,1.9988674101827995,1.9947819799918496
not_sure,not_sure,I,6,7.82608695652174,1.7849056273801254,2.2797981055418184,8.6295372138898,8.822605427404627
not_sure,not_sure,R,3,2.898550724637681,0.1601383803818926,0.20662077899744227,3.2074302505521244,2.8358869222381293
not_sure,not_sure,not_sure,8,5.797101449275362,0.10253632162732544,0.08905318668572187,7.217187715964055,7.513408338054132
