model,delta,tau_loglik_loss,objective,attained_value,g01,g12,sum,loglik,fixed_reference_loglik,actual_maximum_drift,weighted_average_drift,minimum_middle_state_mass,minimum_parameter,near_boundary_count,status,global_certificate
hmm3,0.025,2.0,g12_min,0.016891238256522847,0.032089513736590435,0.016891238256522847,0.04898075199311328,-10304.848542830314,-10303.05290322578,0.025000000000000022,0.017164548904790244,0.1510616513133963,0.0,3,locally_searched_attained_extreme,False
hmm3,0.025,2.0,g12_max,0.027539087557222123,0.05279777588761213,0.027539087557222123,0.08033686344483425,-10304.83352374386,-10303.05290322578,0.0,0.0,0.15750638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.025,2.0,sum_min,0.04783032661728597,0.031089513736590434,0.016740812880695538,0.04783032661728597,-10304.639973322955,-10303.05290322578,0.025000000000000022,0.017154288877201693,0.1490616513133963,0.0,2,locally_searched_attained_extreme,False
hmm3,0.025,2.0,sum_max,0.0819124149591531,0.05479777588761213,0.027114639071540964,0.0819124149591531,-10305.035013652327,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.025,10.0,g01_min,0.02708951373659043,0.02708951373659043,0.01512215852166798,0.042211672258258406,-10312.037121949972,-10303.05290322578,0.025000000000000022,0.01713969888266186,0.1480616513133963,0.0,3,locally_searched_attained_extreme,False
hmm3,0.025,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.025,10.0,g12_min,0.01337105498139331,0.030089513736590433,0.01337105498139331,0.04346056871798375,-10311.674385630844,-10303.05290322578,0.025000000000000022,0.01712943885507331,0.1460616513133963,0.0,2,locally_searched_attained_extreme,False
hmm3,0.025,10.0,g12_max,0.03499909458530158,0.05679777588761214,0.03499909458530158,0.09179687047291371,-10312.8145690964,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.025,10.0,sum_min,0.04073105574512445,0.02708951373659043,0.013641542008534017,0.04073105574512445,-10313.030114139265,-10303.05290322578,0.025000000000000022,0.01713969888266186,0.1480616513133963,0.0,3,locally_searched_attained_extreme,False
hmm3,0.025,10.0,sum_max,0.0922713433846665,0.05779777588761213,0.03447356749705436,0.0922713433846665,-10313.026976198464,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.05,2.0,g01_min,0.031089513736590434,0.031089513736590434,0.01756723563902454,0.04865674937561497,-10304.756425688956,-10303.05290322578,0.025000000000000022,0.01717913889933008,0.1520616513133963,0.0,3,locally_searched_attained_extreme,False
hmm3,0.05,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.05,2.0,g12_min,0.010577177397231966,0.029643896837295576,0.010577177397231966,0.040221074234527546,-10304.958219433061,-10303.05290322578,0.05,0.016086727540820366,0.1470665953603045,0.0,2,locally_searched_attained_extreme,False
hmm3,0.05,2.0,g12_max,0.028011606703792102,0.05279777588761213,0.028011606703792102,0.08080938259140423,-10304.973635477254,-10303.05290322578,0.0,0.0,0.15750638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.05,2.0,sum_min,0.04021999898445271,0.029643896837295576,0.01057610214715713,0.04021999898445271,-10305.013439782206,-10303.05290322578,0.05,0.016089952246859555,0.1470665953603045,0.0,2,locally_searched_attained_extreme,False
hmm3,0.05,2.0,sum_max,0.0819124149591531,0.05479777588761213,0.027114639071540964,0.0819124149591531,-10305.035013652327,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.05,10.0,g01_min,0.02708951373659043,0.02708951373659043,0.01512215852166798,0.042211672258258406,-10312.037121949972,-10303.05290322578,0.025000000000000022,0.01713969888266186,0.1480616513133963,0.0,3,locally_searched_attained_extreme,False
